"project","generated_at","requested_url","final_url","http_status","redirect_chain","raw_title","rendered_title","raw_canonical","raw_canonical_count","rendered_canonical","rendered_canonical_count","canonical_header","canonical_target_status","canonical_target_final_url","meta_robots_raw","meta_robots_rendered","x_robots_tag","hreflang_count","h1_count","h1_text","hidden_h1_count","landmarks","structured_data","address_count","time_datetime_count","internal_link_count","linked_internal_urls_missing_from_sitemap_count","linked_internal_urls_missing_from_sitemap","js_only_metadata","issue_summary","crawl_error"
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/buy-online","https://www.trugreen.com/buy-online","200","200:https://www.trugreen.com/buy-online","Customized Lawn Care Pricing","Customized Lawn Care Pricing","https://www.trugreen.com/buy-online","1","https://www.trugreen.com/buy-online","1","","200","https://www.trugreen.com/buy-online","","","","0","2","Thank you for your interest in TruGreen! | In the meantime, learn more about our services:","2","main|header|footer","jsonld:0;types:;invalid:0;missing:","0","0","7","1","https://www.trugreen.com/products-and-services","","title-pattern-review|multiple-h1|hidden-h1|internal-links-missing-from-sitemap",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/customer-support","https://www.trugreen.com/customer-support","200","200:https://www.trugreen.com/customer-support","Customer support | TruGreen","Customer support | TruGreen","https://www.trugreen.com/customer-support","1","https://www.trugreen.com/customer-support","1","","200","https://www.trugreen.com/customer-support","","","","0","1","Need some help? You’re in the right place.","0","header|footer","jsonld:0;types:;invalid:0;missing:","0","0","51","17","https://www.trugreen.com/chat | https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-settings/communications | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/help | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/my-account/payments/easypay-payment | https://www.trugreen.com/my-account/payments/prepay-payment | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/giveaway-terms-and-conditions","https://www.trugreen.com/giveaway-terms-and-conditions","200","200:https://www.trugreen.com/giveaway-terms-and-conditions","Par-Tee with TruGreen Terms &amp; Conditions | TruGreen","Par-Tee with TruGreen Terms & Conditions | TruGreen","https://www.trugreen.com/giveaway-terms-and-conditions","1","https://www.trugreen.com/giveaway-terms-and-conditions","1","","200","https://www.trugreen.com/giveaway-terms-and-conditions","","","","0","1","Par-Tee with TruGreen Terms & Conditions","0","main|header|nav|footer","jsonld:1;types:WebSite;invalid:0;missing:jsonld_0_missing_@context","0","0","42","11","https://www.trugreen.com/chat/organic-promo | https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/products-and-services/tree-and-shrub-service | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","internal-links-missing-from-sitemap",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog","https://www.trugreen.com/lawn-care-101/blog","200","200:https://www.trugreen.com/lawn-care-101/blog","","TruGreen Lawn Care Blog | TruGreen","","0","","0","","","","","","","0","2","Looking for advice?Turn to the experts. | Looking for advice?Turn to the experts.","0","main|header|footer","jsonld:1;types:Blog|BreadcrumbList|CollectionPage;invalid:0;missing:","0","0","83","21","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog/beyond-lawn/hosting-backyard-party | https://www.trugreen.com/lawn-care-101/blog/consistent-lawn-care | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/blog/lawn-care/sod-vs-seed | https://www.trugreen.com/lawn-care-101/blog/lawn-care/what-lawn-need-thrive | https://www.trugreen.com/lawn-care-101/blog/lawn-care/what-my-lawn-need | https://www.trugreen.com/lawn-care-101/blog/lawn-damage/lawn-care-signs-stress | https://www.trugreen.com/lawn-care-101/blog/tree-shrub-care/tree-disease-treatment | https://www.trugreen.com/lawn-care-101/blog/weed-control/control-wild-violets | https://www.trugreen.com/lawn-care-101/blog/weed-control/how-control-clover-lawn | https://www.trugreen.com/lawn-care-101/blog/weed-control/weeds-from-coming-back | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","title","missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|multiple-h1|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service","https://www.trugreen.com/lawn-care-101/blog/aeration-service","200","302:https://www.trugreen.com/lawn-care-101/blog/aeration-service -> 308:https://www.trugreen.com/lawn-care-101/blog/ -> 200:https://www.trugreen.com/lawn-care-101/blog","","","","0","","0","","","","","","","0","0","","0","","jsonld:1;types:Blog|BreadcrumbList|CollectionPage;invalid:0;missing:","0","0","0","0","","","missing-title|missing-canonical|raw-canonical-count-invalid|rendered-canonical-count-invalid|missing-h1|missing-main",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/benefits-of-spring-aeration-trugreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","200","301:https://www.trugreen.com/lawn-care-101/blog/aeration-service/benefits-of-spring-aeration-trugreen -> 200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","What to Expect With Lawn Aeration Services | TruGreen","What to Expect With Lawn Aeration Services | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","","","","0","1","What to Expect When You Aerate with TruGreen","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","49","18","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/blog-aeration-service-lawn-aeration-tips","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","200","301:https://www.trugreen.com/lawn-care-101/blog/aeration-service/blog-aeration-service-lawn-aeration-tips -> 200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","What is an Aeration Service | TruGreen","What is an Aeration Service | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","","","","0","1","What is Aeration? Understanding Lawn Aeration for a Healthier Lawn","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","51","18","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/blog-aeration-service-spring-fall-lawn-aeration","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","200","301:https://www.trugreen.com/lawn-care-101/blog/aeration-service/blog-aeration-service-spring-fall-lawn-aeration -> 200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","What to Expect With Lawn Aeration Services | TruGreen","What to Expect With Lawn Aeration Services | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/what-to-expect-with-lawn-aeration-services","","","","0","1","What to Expect When You Aerate with TruGreen","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","49","18","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","200","200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","Aeration vs. Dethatching | TruGreen","Aeration vs. Dethatching | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/dethatching-vs-aeration","","","","0","1","Aeration vs. Dethatching: The Differences, Explained","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","49","12","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/products-and-services?new15=1 | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/do-i-need-to-aerate-my-lawn","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","200","301:https://www.trugreen.com/lawn-care-101/blog/aeration-service/do-i-need-to-aerate-my-lawn -> 200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","What is an Aeration Service | TruGreen","What is an Aeration Service | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","","","","0","1","What is Aeration? Understanding Lawn Aeration for a Healthier Lawn","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","51","18","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
"chromium","2026-08-19T09:37:47.396Z","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","200","200:https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","What is an Aeration Service | TruGreen","What is an Aeration Service | TruGreen","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","1","","200","https://www.trugreen.com/lawn-care-101/blog/aeration-service/everything-you-need-to-know-about-aeration","","","","0","1","What is Aeration? Understanding Lawn Aeration for a Healthier Lawn","0","header|nav|footer","jsonld:1;types:Article;invalid:0;missing:jsonld_0_missing_@context","0","0","51","18","https://www.trugreen.com/lawn-care-101 | https://www.trugreen.com/lawn-care-101/blog?topic=Lawn+Care | https://www.trugreen.com/lawn-care-101/blog?type=Blog | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-myths | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-care-vs-landscaping | https://www.trugreen.com/lawn-care-101/blog/lawn-care/lawn-mowing-spread-weeds | https://www.trugreen.com/lawn-care-101/learning-center | https://www.trugreen.com/my-account/account-settings | https://www.trugreen.com/my-account/account-summary | https://www.trugreen.com/my-account/my-documents | https://www.trugreen.com/my-account/my-services | https://www.trugreen.com/my-account/payments | https://www.trugreen.com/newsroom | https://www.trugreen.com/pay-your-bill | https://www.trugreen.com/pests-products-and-services | https://www.trugreen.com/pga-tour | https://www.trugreen.com/products-and-services | https://www.trugreen.com/why-choose-trugreen/testimonials-and-ratings","","missing-main|internal-links-missing-from-sitemap|duplicate-title",""
